image,class,n,poisson_sd,n_lo,n_hi,n_nosplit,n_min_half,n_min_double,share_pct,share_lo95,share_hi95,area_px,area_pct
10A_Mineral_Image,Monazite & Xenotime,1,1.0,1,1,1,1,1,0.025523226135783564,0.004505618222611497,0.1444412191758249,5431,0.09193034080410527
10A_Mineral_Image,Zircon,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Rutile,9,3.0,5,13,6,13,5,0.22970903522205208,0.1208997621153872,0.4360186918820341,6151,0.10411775479397008
10A_Mineral_Image,Ilmenite,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Iron Oxides,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Biotite,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Quartz,3552,59.59865770300536,2738,3798,2738,3798,2994,90.6584992343032,89.70701922279804,91.53032893247483,5447464,92.20902633734018
10A_Mineral_Image,Chromite,53,7.280109889280518,41,56,41,56,49,1.3527309851965288,1.0357187451917915,1.7650436001000465,106360,1.8003518777250296
10A_Mineral_Image,Orthoclase,272,16.492422502470642,227,298,227,298,242,6.9423175089331295,6.187891472932451,7.781093876756599,334943,5.669568061121235
10A_Mineral_Image,Carpholite,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Garnet-Spessartine,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Pseudobrookite,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Illite,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Calderite,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Topaz,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Tourmaline,0,0.0,0,0,0,0,0,0.0,0.0,0.09795038532356329,0,0.0
10A_Mineral_Image,Unknown,31,5.5677643628300215,10,56,32,56,10,0.7912200102092904,0.5579768392072608,1.120863560437369,7385,0.12500562821548838
10A_Mineral_Image,TOTAL,3918,62.5939294181153,3045,4222,3045,4222,3301,100.0,,,5907734,100.0
