grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
1,Quartz,1.0,637,28.479002615897535,11.422291993720565,318.56985871271587,0,305,31,335,30.705136567245653,29.051831250234276,0.9312865497076024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Quartz,1.0,1078,37.04797199880859,15.376623376623376,405.4406307977737,0,382,37,426,46.147922963514816,31.633550340699365,0.8975853455453788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Quartz,1.0,222,16.812470934731934,8.234234234234235,500.81531531531533,0,488,20,511,26.234975309379955,12.046298003084807,0.8283582089552238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Quartz,1.0,106,11.617374563210365,9.10377358490566,108.68867924528301,5,102,16,122,20.247100132732474,9.585357213925723,0.7114093959731543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Unknown,1.0,170,14.712264360219255,10.18235294117647,134.0705882352941,3,124,17,147,21.9623332194353,10.581200400305713,0.8173076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,Quartz,1.0,1535,44.20885319897447,16.265798045602605,451.0671009771987,0,426,42,483,61.81941330546256,36.17533398183508,0.8356015242242787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Quartz,1.0,137,13.207339536360731,16.532846715328468,673.3430656934306,14,662,21,686,25.154319014835533,7.290781008257542,0.9194630872483222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Quartz,1.0,106,11.617374563210365,17.59433962264151,975.4905660377359,14,968,24,983,14.206494186249191,10.68915874172057,0.8983050847457628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Quartz,1.0,176,14.96964127403822,17.46590909090909,1019.4943181818181,14,1005,24,1036,30.020066363335633,8.916489034252734,0.7822222222222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Quartz,1.0,158,14.183506197980657,23.854430379746834,546.246835443038,17,537,33,556,19.28226178614537,13.588695312825498,0.7247706422018348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
