image,class,n,poisson_sd,n_lo,n_hi,n_nosplit,n_min_half,n_min_double,share_pct,share_lo95,share_hi95,area_px,area_pct
10C_Mineral_Image,Monazite & Xenotime,8,2.8284271247461903,3,20,10,20,3,0.3191065017949741,0.16178490953271588,0.6284465386134912,8458,0.12529510938731164
10C_Mineral_Image,Zircon,1737,41.677331968349414,1230,1790,1230,1790,1686,69.28599920223375,67.45186564314804,71.06111957951057,5638334,83.52514486784092
10C_Mineral_Image,Rutile,328,18.110770276274835,259,380,259,380,276,13.083366573593938,11.819623690359156,14.460070573197099,665573,9.859664440794653
10C_Mineral_Image,Ilmenite,11,3.3166247903554,6,15,13,15,6,0.4387714399680893,0.24518184247662866,0.7840133195640477,2429,0.03598271703733507
10C_Mineral_Image,Iron Oxides,5,2.23606797749979,3,8,6,8,3,0.1994415636218588,0.08521866793360826,0.4660490663181297,1039,0.01539153684717626
10C_Mineral_Image,Biotite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Quartz,340,18.439088914585774,252,384,284,384,252,13.562026326286396,12.277391348354383,14.95815777077974,379786,5.626073352301908
10C_Mineral_Image,Chromite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Orthoclase,43,6.557438524302,34,48,43,48,34,1.7151974471479856,1.2758721981496475,2.3022692454320337,40988,0.6071879810318196
10C_Mineral_Image,Carpholite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Garnet-Spessartine,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Pseudobrookite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Illite,8,2.8284271247461903,4,11,4,11,8,0.3191065017949741,0.16178490953271588,0.6284465386134912,5621,0.08326836248121054
10C_Mineral_Image,Calderite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Topaz,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Tourmaline,3,1.7320508075688772,2,6,3,6,2,0.11966493817311527,0.040705037276186254,0.3512535543792389,1902,0.028175845123512268
10C_Mineral_Image,Unknown,24,4.898979485566356,10,49,26,49,10,0.9573195053849222,0.6441606377836645,1.4205439511330444,6333,0.0938157871541552
10C_Mineral_Image,TOTAL,2507,50.06995106848019,1878,2711,1878,2711,2280,100.0,,,6750463,100.0
