grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
1,Quartz,1.0,226,16.96325844612841,5.783185840707965,199.72566371681415,0,188,16,210,20.25877962718051,15.719242162106312,0.9262295081967213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Quartz,1.0,932,34.44792091974742,11.265021459227468,237.30150214592274,0,212,28,263,47.10098624566297,26.903108093657618,0.8842504743833017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Zircon,1.0,690,29.640095915284455,7.939130434782609,301.19710144927535,0,280,19,323,46.16809763915576,19.818300266464437,0.965034965034965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Zircon,1.0,1427,42.62526047236635,15.203924316748424,382.0364400840925,0,352,36,408,53.76743364858077,35.45445496457577,0.9375821287779238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Zircon,1.0,158,14.183506197980657,3.9240506329113924,430.5759493670886,0,422,11,442,20.107633314392526,10.626204318069654,0.9404761904761905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Zircon,1.0,857,33.032806266468405,9.386231038506418,487.6977829638273,0,463,23,510,48.24520879910379,23.899360794656282,0.924487594390507,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Zircon,1.0,448,23.883285285767386,9.924107142857142,111.73214285714286,0,100,19,129,30.483942243039788,19.722807876341943,0.986784140969163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Zircon,1.0,442,23.722813466638858,27.070135746606336,111.32126696832579,19,100,42,130,32.85378998736914,19.297684889723254,0.8875502008032129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Zircon,1.0,1143,38.14856222234714,28.403324584426947,613.5879265091863,6,590,52,641,60.24144112134772,24.897497616826538,0.9262560777957861,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Zircon,1.0,281,18.91508160359296,20.90035587188612,986.7544483985765,14,973,31,999,27.527806568153398,13.688456923913577,0.9243421052631579,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Zircon,1.0,555,26.582850624566497,20.403603603603603,1019.3351351351351,14,998,30,1046,48.78228476621901,15.189395727863833,0.9296482412060302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Zircon,1.0,712,30.10891156869401,21.450842696629213,818.6530898876405,14,793,35,846,48.83582187625196,21.481046791489558,0.9343832020997376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Zircon,1.0,206,16.195287778099022,34.68446601941748,413.8932038834951,24,407,47,420,21.746482316945617,12.854468611397934,0.9279279279279279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Zircon,1.0,273,18.643883600599406,37.205128205128204,426.54578754578756,27,419,48,439,21.12283602794639,17.81852870579466,0.9285714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Zircon,1.0,4813,78.28219420027992,37.7895283606898,553.315811344276,0,509,80,597,98.44691789808869,64.50498060256434,0.9089707271010388,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Zircon,1.0,1631,45.57031596843553,40.61066830165542,465.0085836909871,17,438,65,489,48.33616412670415,43.68084826280738,0.9611078373600471,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Zircon,1.0,3399,65.78556994170391,42.23977640482495,166.16946160635482,9,132,81,210,72.6289384713728,63.476606640427754,0.9127282491944146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Zircon,1.0,2929,61.068147397225765,46.245476271765106,1257.1809491293957,28,1215,77,1305,88.9017111940152,44.94375812676913,0.8990178023327194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Zircon,1.0,3089,62.713929502837864,48.05924247329233,715.3217869860796,14,680,81,748,66.41961862609804,61.89030038622889,0.8902017291066282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Zircon,1.0,5542,84.00174734445868,59.348430169613856,1336.7536990256226,28,1282,107,1421,139.44663636100742,54.844260038500344,0.9272210138865652,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Zircon,1.0,6025,87.58577656805559,66.04199170124481,884.1017427385892,17,840,117,926,100.88519314009187,77.58319255941308,0.9242215063660071,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Zircon,1.0,309,19.83509564693766,68.62135922330097,103.957928802589,50,100,92,112,38.05577093740162,11.793222211512356,0.8982558139534884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
