r,g,b,n_px,nearest,dist
192,192,192,143837,Rutile,64.0
101,157,26,2369,Illite,87.4
191,255,255,392,Rutile,103.8
255,255,191,322,Rutile,64.1
255,224,156,313,Rutile,56.9
156,224,255,215,Rutile,116.3
72,0,116,180,Biotite,78.4
224,156,72,157,Carpholite,69.7
116,0,72,144,Iron Oxides,73.0
72,156,224,140,Tourmaline,51.5
0,116,191,105,Tourmaline,74.2
116,0,116,90,Topaz,100.2
0,72,156,89,Tourmaline,100.4
72,0,0,85,Iron Oxides,56.0
255,191,116,78,Rutile,87.0
116,191,255,49,Tourmaline,104.4
72,72,156,45,Garnet-Spessartine,62.3
156,72,0,35,Illite,68.9
255,99,71,25,Calderite,51.8
72,0,72,19,Biotite,73.2
116,72,72,9,Carpholite,93.4
156,72,72,9,Carpholite,56.6
156,191,156,4,Rutile,109.6
72,72,0,3,Ilmenite,77.3
0,116,116,3,Ilmenite,117.1
191,255,191,3,Rutile,90.6
0,72,72,2,Biotite,73.2
191,191,116,2,Carpholite,102.8
116,116,116,2,Garnet-Spessartine,93.3
116,156,156,1,Garnet-Spessartine,82.8
224,191,116,1,Rutile,92.4
224,255,224,1,Rutile,73.3
0,72,116,1,Biotite,78.4
116,116,72,1,Illite,93.1
116,72,0,1,Iron Oxides,73.0
