image,class,n,poisson_sd,n_lo,n_hi,n_nosplit,n_min_half,n_min_double,share_pct,share_lo95,share_hi95,area_px,area_pct
10E_Mineral_Image,Monazite & Xenotime,138,11.74734012447073,98,153,122,153,98,4.125560538116592,3.5025437534664006,4.853822538034341,75199,2.856005648282025
10E_Mineral_Image,Zircon,1594,39.92492955535426,1099,1675,1099,1675,1442,47.65321375186846,45.9643260837862,49.3474854208621,1627007,61.792592744509804
10E_Mineral_Image,Rutile,903,30.04995840263344,681,1053,719,1053,681,26.99551569506726,25.51811047402841,28.525697842237363,541699,20.573350758237805
10E_Mineral_Image,Ilmenite,152,12.328828005937952,108,182,147,182,108,4.5440956651718984,3.8889290654982487,5.303547276128911,69548,2.641384603873965
10E_Mineral_Image,Iron Oxides,67,8.18535277187245,45,77,64,77,45,2.0029895366218233,1.5803521870360895,2.5357417073949553,28108,1.0675222644172284
10E_Mineral_Image,Biotite,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Quartz,326,18.05547008526779,251,361,295,361,251,9.745889387144993,8.786515500585269,10.797614321184527,203646,7.734333252437417
10E_Mineral_Image,Chromite,2,1.4142135623730951,1,2,2,2,1,0.05979073243647235,0.016398307038841962,0.21775606894811572,538,0.020432865314375583
10E_Mineral_Image,Orthoclase,48,6.928203230275509,33,56,44,56,33,1.4349775784753362,1.0840567212209022,1.8973163908957176,16144,0.6131378766455008
10E_Mineral_Image,Carpholite,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Garnet-Spessartine,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Pseudobrookite,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Illite,85,9.219544457292887,55,117,62,117,55,2.5411061285500747,2.0597784601884785,3.1313140701193904,63804,2.423231484234981
10E_Mineral_Image,Calderite,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Topaz,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Tourmaline,0,0.0,0,0,0,0,0,0.0,0.0,0.11471008311175496,0,0.0
10E_Mineral_Image,Unknown,30,5.477225575051661,10,67,31,67,10,0.8968609865470852,0.6289512695359218,1.2774232067038735,7320,0.2780085020468946
10E_Mineral_Image,TOTAL,3345,57.83597496368502,2585,3743,2585,3743,2724,100.0,,,2633013,100.0
