grain_id,class,class_frac,area_px,equiv_diam_px,centroid_row,centroid_col,bbox_r0,bbox_c0,bbox_r1,bbox_c1,major_px,minor_px,solidity,frac_Monazite & Xenotime,frac_Zircon,frac_Rutile,frac_Ilmenite,frac_Iron Oxides,frac_Biotite,frac_Quartz,frac_Chromite,frac_Orthoclase,frac_Carpholite,frac_Garnet-Spessartine,frac_Pseudobrookite,frac_Illite,frac_Calderite,frac_Topaz,frac_Tourmaline,frac_Unknown
2,Zircon,1.0,118,12.257335203001883,3.847457627118644,358.91525423728814,0,352,11,368,15.224608845073183,10.854757671759575,0.9076923076923077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Quartz,1.0,113,11.994835078277376,2.9557522123893807,518.7964601769911,0,510,9,528,17.890476071238766,8.909448784557016,0.889763779527559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Quartz,0.7966903073286052,423,23.207333483685147,10.229314420803783,539.1111111111111,0,522,24,556,32.69230784803724,17.93128799174281,0.831041257367387,0.0,0.0,0.0,0.0,0.0,0.0,0.7966903073286052,0.0,0.2033096926713948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Zircon,1.0,548,26.414679072721462,17.12043795620438,580.9525547445255,2,566,29,603,38.20266293353312,21.885487760539608,0.7751060820367751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Quartz,1.0,167,14.581872443920643,24.664670658682635,355.5508982035928,16,347,33,366,18.667373186012412,12.961018371382425,0.8226600985221675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Monazite & Xenotime,1.0,1520,43.992318738587166,22.73486842105263,928.9006578947368,14,884,35,974,94.59246613193639,21.65406481064509,0.918429003021148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rutile,1.0,830,32.5082885143187,31.8289156626506,486.97831325301206,13,465,49,511,49.434816762720494,23.447920519726114,0.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Quartz,1.0,145,13.58748446131949,19.02758620689655,492.77241379310345,14,482,25,504,20.572230116357996,10.042548938447421,0.7671957671957672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Rutile,1.0,949,34.76067214473376,30.0463645943098,102.70600632244468,5,89,52,118,47.781527136431265,26.294302314653272,0.9012345679012346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Unknown,1.0,126,12.666024736934256,30.428571428571427,1205.063492063492,27,1196,36,1214,18.96206389658456,9.215688845098885,0.8873239436619719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Zircon,1.0,356,21.290215544369623,34.11516853932584,538.1769662921348,23,526,45,550,24.975777935735145,19.195988819900656,0.8704156479217604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Rutile,1.0,635,28.43425945768288,32.66299212598425,789.5165354330709,14,777,55,804,40.355573655590774,22.555194965827233,0.7868649318463445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Quartz,1.0,637,28.479002615897535,33.65620094191523,1350.265306122449,27,1326,45,1376,48.39573420010169,17.75545750671981,0.9437037037037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Quartz,1.0,201,15.99753570059363,36.343283582089555,1103.5273631840796,27,1097,45,1115,20.026494716943684,14.455532836148715,0.8739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Zircon,0.976897689768977,3030,62.11212297569246,37.28382838283829,634.242904290429,14,598,64,675,77.94759924163561,51.14912692491334,0.924908424908425,0.0,0.976897689768977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231023102310231
19,Zircon,1.0,108,11.726460285670077,37.96296296296296,686.8518518518518,32,681,45,694,13.172352625680022,11.315561779075365,0.864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Rutile,1.0,315,20.026743534373637,41.733333333333334,140.0,30,129,53,151,27.312202016791765,15.701313322189792,0.8923512747875354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Monazite & Xenotime,1.0,257,18.089294154193436,45.18287937743191,1767.272373540856,41,1753,52,1784,31.509600707053742,11.045307753487277,0.8923611111111112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
