image,class,n,poisson_sd,n_lo,n_hi,n_nosplit,n_min_half,n_min_double,share_pct,share_lo95,share_hi95,area_px,area_pct
10A_Mineral_Image,Monazite & Xenotime,1,1.0,1,1,1,1,1,0.0255232261357835,0.0045056182226114,0.1444412191758249,5431,0.0919303408041052
10A_Mineral_Image,Zircon,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Rutile,9,3.0,5,13,6,13,5,0.229709035222052,0.1208997621153872,0.4360186918820341,6151,0.10411775479397
10A_Mineral_Image,Ilmenite,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Iron Oxides,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Biotite,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Quartz,3552,59.59865770300536,2738,3798,2738,3798,2994,90.6584992343032,89.70701922279804,91.53032893247484,5447464,92.20902633734018
10A_Mineral_Image,Chromite,53,7.280109889280518,41,56,41,56,49,1.3527309851965288,1.0357187451917915,1.7650436001000465,106360,1.8003518777250296
10A_Mineral_Image,Orthoclase,272,16.492422502470642,227,298,227,298,242,6.9423175089331295,6.187891472932451,7.781093876756599,334943,5.669568061121235
10A_Mineral_Image,Carpholite,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Garnet-Spessartine,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Pseudobrookite,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Illite,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Calderite,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Topaz,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Tourmaline,0,0.0,0,0,0,0,0,0.0,0.0,0.0979503853235632,0,0.0
10A_Mineral_Image,Unknown,31,5.5677643628300215,10,56,32,56,10,0.7912200102092904,0.5579768392072608,1.120863560437369,7385,0.1250056282154883
10A_Mineral_Image,TOTAL,3918,62.5939294181153,3045,4222,3045,4222,3301,100.0,,,5907734,100.0
10C_Mineral_Image,Monazite & Xenotime,8,2.8284271247461903,3,20,10,20,3,0.3191065017949741,0.1617849095327158,0.6284465386134912,8458,0.1252951093873116
10C_Mineral_Image,Zircon,1737,41.677331968349414,1230,1790,1230,1790,1686,69.28599920223375,67.45186564314804,71.06111957951057,5638334,83.52514486784092
10C_Mineral_Image,Rutile,328,18.110770276274835,259,380,259,380,276,13.083366573593938,11.819623690359156,14.4600705731971,665573,9.859664440794653
10C_Mineral_Image,Ilmenite,11,3.3166247903554,6,15,13,15,6,0.4387714399680893,0.2451818424766286,0.7840133195640477,2429,0.035982717037335
10C_Mineral_Image,Iron Oxides,5,2.23606797749979,3,8,6,8,3,0.1994415636218588,0.0852186679336082,0.4660490663181297,1039,0.0153915368471762
10C_Mineral_Image,Biotite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Quartz,340,18.439088914585778,252,384,284,384,252,13.562026326286396,12.277391348354383,14.95815777077974,379786,5.626073352301908
10C_Mineral_Image,Chromite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Orthoclase,43,6.557438524302,34,48,43,48,34,1.7151974471479856,1.2758721981496477,2.3022692454320337,40988,0.6071879810318196
10C_Mineral_Image,Carpholite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Garnet-Spessartine,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Pseudobrookite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Illite,8,2.8284271247461903,4,11,4,11,8,0.3191065017949741,0.1617849095327158,0.6284465386134912,5621,0.0832683624812105
10C_Mineral_Image,Calderite,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Topaz,0,0.0,0,0,0,0,0,0.0,0.0,0.152994877760956,0,0.0
10C_Mineral_Image,Tourmaline,3,1.7320508075688772,2,6,3,6,2,0.1196649381731152,0.0407050372761862,0.3512535543792389,1902,0.0281758451235122
10C_Mineral_Image,Unknown,24,4.898979485566356,10,49,26,49,10,0.9573195053849222,0.6441606377836645,1.4205439511330444,6333,0.0938157871541552
10C_Mineral_Image,TOTAL,2507,50.06995106848019,1878,2711,1878,2711,2280,100.0,,,6750463,100.0
10E_Mineral_Image,Monazite & Xenotime,138,11.74734012447073,98,153,122,153,98,4.125560538116592,3.502543753466401,4.853822538034341,75199,2.856005648282025
10E_Mineral_Image,Zircon,1594,39.92492955535426,1099,1675,1099,1675,1442,47.65321375186846,45.9643260837862,49.3474854208621,1627007,61.79259274450981
10E_Mineral_Image,Rutile,903,30.04995840263344,681,1053,719,1053,681,26.99551569506726,25.51811047402841,28.525697842237363,541699,20.573350758237805
10E_Mineral_Image,Ilmenite,152,12.328828005937952,108,182,147,182,108,4.5440956651718984,3.8889290654982487,5.303547276128911,69548,2.641384603873965
10E_Mineral_Image,Iron Oxides,67,8.18535277187245,45,77,64,77,45,2.0029895366218233,1.5803521870360897,2.5357417073949553,28108,1.0675222644172284
10E_Mineral_Image,Biotite,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Quartz,326,18.05547008526779,251,361,295,361,251,9.745889387144992,8.786515500585269,10.797614321184527,203646,7.734333252437417
10E_Mineral_Image,Chromite,2,1.4142135623730951,1,2,2,2,1,0.0597907324364723,0.0163983070388419,0.2177560689481157,538,0.0204328653143755
10E_Mineral_Image,Orthoclase,48,6.928203230275509,33,56,44,56,33,1.4349775784753362,1.0840567212209022,1.8973163908957176,16144,0.6131378766455008
10E_Mineral_Image,Carpholite,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Garnet-Spessartine,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Pseudobrookite,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Illite,85,9.219544457292889,55,117,62,117,55,2.5411061285500747,2.0597784601884785,3.1313140701193904,63804,2.423231484234981
10E_Mineral_Image,Calderite,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Topaz,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Tourmaline,0,0.0,0,0,0,0,0,0.0,0.0,0.1147100831117549,0,0.0
10E_Mineral_Image,Unknown,30,5.477225575051661,10,67,31,67,10,0.8968609865470852,0.6289512695359218,1.2774232067038735,7320,0.2780085020468946
10E_Mineral_Image,TOTAL,3345,57.83597496368502,2585,3743,2585,3743,2724,100.0,,,2633013,100.0
